label,structured_address
8831,akarca mahallesi adnan menderes caddesi 864 sokak
8810,cumhuriye mahallesi hükümet caddesi sivriler i şhanı fethiye muğla foto kandiye muğla fethiye
3067,i smet inönü mahallesi 2001 sokak çeşme belediyesi çeşme
8210,gazeteci hasan tahsin caddesi
9675,bitez mahallesi adnan menderes caddesi gündonumu mevkii 1410 sokak doria hotel
6378,dedebaşı mahallesi 6100 sokak
8668,dikili güzelbelde sitesi müsellim kabakum dikili izmir kabakum di ki li izmir
1770,yeni sanayi mahallesi 515 sokak c3 blok emek aliminyum
8908,pazaryeri mahallesi 417 sokak fethiye muğla
9816,gümüşlük mahallesi 5215 sokak dış bodrum muğla gümüşlük bodrum muğla
990,şemikler mahallesi osmangazi caddesi gölkent konutları merkezefendi denizli
5068,895 sokak hisarönü i şgören si lahçilik konak konak izmir
2305,yedi eylül mahallesi celal umur cadde
8432,282 sokak ulu cami i akhi sar manisa
2465,i nönü mahallesi 147sok rivella evleri
6891,yeni sanayi sitesi atatürk mahallesi 672 sokak salihli manisa
3766,limanreis mahallesi aziz sokak narlıdere izmir narlıdere narlıdere
7529,esatpaşa mahallesi altuğ karaburun caddesi ba
3830,sevgi mahallesi 4632 sokak i smail soyak stesi ablok i smail soyak sitesi
1370,hürriyet bulvar efeler sahika sitesi
4602,203 sokak kuruçeşme buca izmir
4678,141 sokak hakim evleri konak konak izmir
3864,izmir karabağlar barış mahallesi 4512 sokak bariş karabağlar izmir
874,karahasanli mahallesi 2035 sokak da
8666,siteler sokak kabakum mahallesi burak yar sitesi
5903,1771 sokak bostanlı karsıyaka karşiyaka izmir
6110,kazimdi ri k mustafa kemal caddesi kazimdi ri k bornova izmir
8310,3180 sokak yenişakran mahallesi aliağa izmir tr
9922,yalıkavak mahallesi kardelen çıkmaz sokak yalikavak bodrum muğla
9359,armutalan mahallesi yıldırım beyazıt caddesi armutalan marmari s muğla
5483,5118 sokak yildirim beyazit bornova izmir
5720,kazımdirik nah sanayi caddesi galata rezidans 709 lu
10354,i smet paşa mahallesi ahmet taner kışlalı caddesi i layda flowers muğla
1702,mimar sinan mahallesi kubilay caddesi nysa villaları efeler aydın atabey ilkokulu ortadaki
7781,keçiliköy organize sanayi bölgesi cumhuriyet bulvar vestel elektronik fabrika vestel dış ticaret yunusemre manisa
5715,üniversite caddesi park yaşam bornova kazimdi ri k bornova izmir
10190,muslihittin mahallesi şehit özden aşınmaz caddesi hedef blok dai menteşe muğla
4815,ati lla mahallesi atillamahallesi475sokibrahimapartno20kat4daire4 eşrefpaşa konak
3200,yenikent mahallesi ruhi gürsoy caddesi ekinkent sitesi
7010,mustafa kemal 6753 sokak varyant plu s sitesi mustafa kemal karşiyaka izmir m ustafa kemal karşiyaka izmir türkiye
234,orta mahalle hacıyusuflar sokak irem bebe tavas denizli orta tavas denizli
5807,özsüt genel müdürlüğü ana fabrika kemalpaşa organize sanayi bölgesi ankara asfaltı caddesi 35730 kemalpaşa izmir kemalpaşa organize sanayi bölgesi kemalpaşa izmir
8314,3272 sokak
2110,hürriyet mahallesi general nahit tunaşar sokak
1277,adnan menderes mahallesi 515 sokak efeler aydın
7304,8972 sokak taksim uğur mumcu mahallesi harmandalı çiğli izmir izmir çiğli harmandalı
4714,basin sitesi mahallesi 168 sokak sitesi mahallesi bora karasukişisel gelişim kursu
3956,sokak fakülte taksi durağı buca
9649,ören mahallesi i skele caddesi 127 nolu sokak ören mi las muğla
9905,koyunbaba mahallesi fuat köprülü sokak gümsan sitesi gümüşlük
